id,name,state
3477,"São Paulo",SP
3569,Ananás,TO
3740,"Ouro Verde",SP
4625,Laje,BA
5799,"Ametista do Sul",RS
5975,"Santo Antônio de Pádua",RJ
7644,"Peixoto de Azevedo",MT
8909,Pratinha,MG
